CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,OpenDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,Virtual,Magnet,Latitude,Longitude
4.31044E+13,691035,13640,Active,Santa Clara,Santa Clara County Office of Education,Discovery Charter II,762 Sunset Glen Drive,762 Sunset Glen Dr.,San Jose,95123-4543,CA,8/20/13,Y,1547,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.236158,-121.84842
4.31044E+13,691035,13757,Active,Santa Clara,Santa Clara County Office of Education,Alpha: Jose Hernandez,1601 Cunningham Avenue,1601 Cunningham Ave.,San Jose,95122-2314,CA,7/28/14,Y,1618,Directly funded,0,County Office of Education (COE),62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,N,N,37.326449,-121.83457
4.31044E+13,691035,13747,Active,Santa Clara,Santa Clara County Office of Education,Rocketship Fuerza Community Prep,70 South Jackson Avenue,70 South Jackson Ave.,San Jose,95116-2506,CA,8/18/14,Y,1687,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.357607,-121.84232
4.31044E+13,691035,13925,Active,Santa Clara,Santa Clara County Office of Education,Voices College-Bound Language Academy at Mt. Pleasant,14271 Story Road,14271 Story Rd.,San Jose,95127-3823,CA,9/8/15,Y,1743,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.359212,-121.8161
4.31044E+13,691035,13979,Active,Santa Clara,Santa Clara County Office of Education,Rocketship Rising Stars,3173 Senter Road,3173 Senter Rd.,San Jose,95111-1332,CA,8/15/16,Y,1778,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.292561,-121.83243
4.31044E+13,691035,14054,Active,Santa Clara,Santa Clara County Office of Education,Opportunity Youth Academy,1290 Ridder Park Drive,1290 Ridder Park Dr.,San Jose,95131-2304,CA,9/1/16,Y,1840,Locally funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,C,N,37.383909,-121.90023
4.31044E+13,691035,,Pending,Santa Clara,Santa Clara County Office of Education,Legacy Academy,484 East San Fernando Street,484 East San Fernando St.,San Jose,95112-3513,CA,8/20/18,Y,1867,Directly funded,0,County Office of Education (COE),62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,N,N,37.33888,-121.87901
4.36937E+13,602310,12063,Active,Santa Clara,Alum Rock Union Elementary,Russo/McEntee Academy,2851 Gay Avenue,2851 Gay Ave.,San Jose,95127-2320,CA,8/27/07,N,,,52,Elementary School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,ELEM,Elementary,N,N,37.36876,-121.83568
4.36937E+13,602310,12989,Active,Santa Clara,Alum Rock Union Elementary,Alpha: Blanca Alvarado Middle,1601 Cunningham Avenue,1601 Cunningham Ave.,San Jose,95122-2322,CA,8/27/12,Y,1375,Directly funded,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,N,N,37.326567,-121.83506
4.36937E+13,602310,13126,Active,Santa Clara,Alum Rock Union Elementary,Renaissance at Mathson,2050 Kammerer Avenue,2050 Kammerer Ave.,San Jose,95116-3020,CA,8/29/12,N,,,52,Elementary School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,INTMIDJR,Intermediate/Middle/Junior High,N,N,37.350962,-121.84401
4.36937E+13,602310,13778,Active,Santa Clara,Alum Rock Union Elementary,Kipp Prize Preparatory Academy,1250 South King Road,1250 South King Rd.,San Jose,95122-2146,CA,8/1/14,Y,1609,Directly funded,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,N,N,37.337944,-121.84017
4.36937E+13,602310,,Active,Santa Clara,Alum Rock Union Elementary,Adelante Dual Language Academy II,1970 Cinerella Lane,1970 Cinerella Ln.,San Jose,95116,CA,8/28/17,N,,,52,Elementary School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,ELEM,Elementary,N,N,37.344197,-121.84039
4.36939E+13,607140,13993,Active,Santa Clara,Cambrian,Steindorf STEAM K-8 Magnet,3001 Ross Avenue,3001 Ross Ave.,San Jose,95124-2358,CA,8/15/16,N,,,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,Y,37.266653,-121.92053
4.36943E+13,611820,12236,Active,Santa Clara,East Side Union High,KIPP San Jose Collegiate,1790 Educational Park Drive,1790 Educational Park Dr.,San Jose,95133-1703,CA,8/11/08,Y,976,Directly funded,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,37.368245,-121.86008
4.36943E+13,611820,12769,Active,Santa Clara,East Side Union High,Summit Public School: Rainier,1750 South White Road,1750 South White Rd.,San Jose,95127-4760,CA,8/22/11,Y,1276,Directly funded,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,37.346162,-121.80826
4.36943E+13,611820,13019,Active,Santa Clara,East Side Union High,Calero High,420 Calero Avenue,420 Calero Ave.,San Jose,95123-4240,CA,8/1/13,N,,,56,High School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,HS,High School,C,N,37.241321,-121.82663
4.36943E+13,611820,13023,Active,Santa Clara,East Side Union High,ACE Charter High,1776 Educational Park Drive,1776 Educational Park Dr.,San Jose,95133-1703,CA,8/20/12,Y,1387,Directly funded,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,37.366747,-121.85791
4.36943E+13,611820,13815,Active,Santa Clara,East Side Union High,Luis Valdez Leadership Academy,1855 Lucretia Avenue,1855 Lucretia Ave.,San Jose,95122-3730,CA,8/11/14,Y,1681,Directly funded,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,C,N,37.3204,-121.84812
4.36943E+13,611820,13927,Active,Santa Clara,East Side Union High,B. Roberto Cruz Leadership Academy,14265 Story Road,14265 Story Rd.,San Jose,95127-3823,CA,8/3/15,Y,1675,Directly funded,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,37.365881,-121.80572
4.36943E+13,611820,13926,Active,Santa Clara,East Side Union High,Alpha Cindy Avitia High,1881 Cunningham Avenue,1881 Cunningham Ave.,San Jose,95122-2314,CA,8/3/15,Y,1737,Directly funded,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,37.330197,-121.82911
4.36945E+13,614370,12031,Active,Santa Clara,Franklin-McKinley Elementary,Voices College-Bound Language Academy,715 Hellyer Avenue,715 Hellyer Ave.,San Jose,95111-1584,CA,9/4/07,Y,846,Directly funded,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.284739,-121.82181
4.36945E+13,614370,12639,Active,Santa Clara,Franklin-McKinley Elementary,Alpha: Cornerstone Academy Preparatory,1598 Lucretia Avenue,1598 Lucretia Ave.,San Jose,95122-3817,CA,8/18/10,Y,1167,Directly funded,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.32563,-121.85303
4.36945E+13,614370,12645,Active,Santa Clara,Franklin-McKinley Elementary,Rocketship Mosaic Elementary,950 Owsley Avenue,950 Owsley Ave.,San Jose,95122-3109,CA,8/29/11,Y,1192,Directly funded,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.329389,-121.85596
4.36945E+13,614370,13199,Active,Santa Clara,Franklin-McKinley Elementary,College Connection Academy,1855 Lucretia Avenue,1855 Lucretia Ave.,San Jose,95122-3730,CA,7/1/13,N,,,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,N,N,37.320115,-121.84751
4.36945E+13,614370,13582,Active,Santa Clara,Franklin-McKinley Elementary,Rocketship Spark Academy,683 Sylvandale Avenue,683 Sylvandale Ave.,San Jose,95111-1414,CA,8/15/13,Y,1526,Directly funded,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.287979,-121.82214
4.36945E+13,614370,13763,Active,Santa Clara,Franklin-McKinley Elementary,KIPP Heritage Academy,423 Los Arboles St,423 Los Arboles St,San Jose,95111,CA,8/1/14,Y,1608,Directly funded,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,N,N,37.285271,-121.83139
4.36945E+13,614370,13740,Active,Santa Clara,Franklin-McKinley Elementary,ACE Esperanza Middle,1665 Santee Drive,1665 Santee Dr.,San Jose,95112-2865,CA,7/1/14,Y,1545,Directly funded,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,N,N,37.328016,-121.84531
4.36958E+13,625770,13806,Active,Santa Clara,Moreland,Latimer Elementary,4250 Latimer Avenue,4250 Latimer Ave.,San Jose,95130-1400,CA,8/19/14,N,,,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.292391,-121.97803
4.36967E+13,634590,13738,Active,Santa Clara,San Jose Unified,Downtown College Preparatory Middle,1402 Monterey Highway,1402 Monterey Hwy.,San Jose,95110-3617,CA,8/18/14,Y,1623,Directly funded,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,C,N,37.316331,-121.87288
4.36967E+13,634590,13852,Active,Santa Clara,San Jose Unified,ACE Inspire Academy,1155 East Julian Street,1155 East Julian St.,San Jose,95112-6334,CA,8/3/15,Y,1546,Directly funded,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,C,N,37.350981,-121.87205
3.86848E+13,634410,13621,Active,San Francisco,San Francisco Unified,Stockton (Commodore) Children Center,949 Washington Street,949 Washington St.,San Francisco,94108-1113,CA,6/1/08,N,,,54,Unified School District,8,Preschool,TRAD,Traditional,PS,Preschool,N,N,37.794832,-122.40905
3.86848E+13,634410,13231,Active,San Francisco,San Francisco Unified,Noriega Children Center,1775 44th Avenue,1775 44th Ave.,San Francisco,94122-4013,CA,6/1/08,N,,,54,Unified School District,8,Preschool,TRAD,Traditional,PS,Preschool,N,N,37.753466,-122.50338
3.86848E+13,634410,13548,Active,San Francisco,San Francisco Unified,San Miguel Children Center,300 Seneca Avenue,300 Seneca Ave.,San Francisco,94112-3248,CA,6/1/08,N,,,54,Unified School District,8,Preschool,TRAD,Traditional,PS,Preschool,N,N,37.721211,-122.44475
3.86848E+13,634410,13488,Active,San Francisco,San Francisco Unified,Presidio Early Ed.,387 Moraga Avenue,387 Moraga Ave.,San Francisco,94129-2235,CA,6/1/08,N,,,54,Unified School District,8,Preschool,TRAD,Traditional,PS,Preschool,N,N,37.797684,-122.46107
3.86848E+13,634410,13393,Active,San Francisco,San Francisco Unified,Cooper (Sarah B.) Children Center,940 Filbert Street,940 Filbert St.,San Francisco,94133-2606,CA,6/1/08,N,,,54,Unified School District,8,Preschool,TRAD,Traditional,PS,Preschool,N,N,37.800719,-122.41484
3.86848E+13,634410,13244,Active,San Francisco,San Francisco Unified,Weill (Raphael) Children Center,1501 O'Farrell Street,1501 O'Farrell St.,San Francisco,94115-3762,CA,6/1/08,N,,,54,Unified School District,8,Preschool,TRAD,Traditional,PS,Preschool,N,N,37.783512,-122.43013
3.86848E+13,634410,12583,Active,San Francisco,San Francisco Unified,Tule Elk Park Children Center,2110 Greenwich Street,2110 Greenwich St.,San Francisco,94123-3405,CA,6/1/08,N,,,54,Unified School District,8,Preschool,TRAD,Traditional,PS,Preschool,N,N,37.799081,-122.43481
3.86848E+13,634410,13456,Active,San Francisco,San Francisco Unified,McLaren (John) Children Centers,2055 Sunnydale Avenue,2055 Sunnydale Ave.,San Francisco,94134-2611,CA,6/1/08,N,,,54,Unified School District,8,Preschool,TRAD,Traditional,PS,Preschool,N,N,37.713557,-122.42191
3.86848E+13,634410,13585,Active,San Francisco,San Francisco Unified,Havard (Leona M) Early Education,1520 Oakdale Avenue,1520 Oakdale Ave.,San Francisco,94124-2323,CA,6/1/08,N,,,54,Unified School District,8,Preschool,TRAD,Traditional,PS,Preschool,N,N,37.733772,-122.38887
3.86848E+13,634410,13281,Active,San Francisco,San Francisco Unified,Mahler (Theresa S.) Children Center,990 Church Street,990 Church St.,San Francisco,94114-3044,CA,6/1/08,N,,,54,Unified School District,8,Preschool,TRAD,Traditional,PS,Preschool,N,N,37.755547,-122.428
3.86848E+13,634410,12373,Active,San Francisco,San Francisco Unified,Five Keys Adult School (SF Sheriff's),70 Oak Grove,70 Oak Grove,San Francisco,94107-1019,CA,7/1/08,Y,1029,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,37.77716,-122.40215
3.86848E+13,634410,12256,Active,San Francisco,San Francisco Unified,Five Keys Independence HS (SF Sheriff's),70 Oak Grove,70 Oak Grove,San Francisco,94107-1019,CA,9/2/08,Y,1028,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,37.77717,-122.40214
3.86848E+13,634410,12494,Active,San Francisco,San Francisco Unified,S.F. International High,1050 York Street,1050 York St.,San Francisco,94110-3420,CA,8/24/09,N,,,54,Unified School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,HS,High School,N,N,37.75521,-122.40844
3.86848E+13,634410,12526,Active,San Francisco,San Francisco Unified,Academy (The)- SF @McAteer,555 Portola Drive,555 Portola Dr.,San Francisco,94131-1616,CA,8/24/09,N,,,54,Unified School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,HS,High School,N,N,37.745874,-122.44998
3.86848E+13,634410,12487,Active,San Francisco,San Francisco Unified,Chinese Immersion School at DeAvila,1250 Waller Street,1250 Waller St.,San Francisco,94117-2919,CA,8/24/09,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.769464,-122.44429
3.86848E+13,634410,12788,Active,San Francisco,San Francisco Unified,San Francisco Public Montessori,2340 Jackson Street,2340 Jackson St.,San Francisco,94115-1323,CA,8/16/10,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.792616,-122.43354
3.86848E+13,634410,12800,Active,San Francisco,San Francisco Unified,Gateway Middle,1512 Golden Gate Avenue,1512 Golden Gate Ave.,San Francisco,94115-4515,CA,8/11/11,Y,1267,Directly funded,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,N,N,37.779439,-122.436
3.86848E+13,634410,12768,Active,San Francisco,San Francisco Unified,Mission Preparatory,1050 York Street,1050 York St.,San Francisco,94110-3420,CA,8/15/11,Y,1270,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.755441,-122.40857
3.86848E+13,634410,13410,Active,San Francisco,San Francisco Unified,KIPP San Francisco College Preparatory,1195 Hudson Avenue,1195 Hudson Ave.,San Francisco,94124-2488,CA,8/12/13,Y,1502,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,,
3.86848E+13,634410,,Active,San Francisco,San Francisco Unified,Brown Jr. (Willie L) Middle,2055 Silver Avenue,2055 Silver Ave.,San Francisco,94122-2032,CA,8/17/15,N,,,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,N,N,37.735911,-122.39969
3.87692E+13,601433,13938,Active,San Francisco,SBE - OnePurpose,OnePurpose,948 Hollister Avenue,948 Hollister Ave.,San Francisco,94124-3710,CA,8/18/15,Y,1733,Directly funded,2,State Board of Education,61,Elemen Schools In 1 School Dist. (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.718332,-122.38988
3.87693E+13,601431,13939,Active,San Francisco,SBE - The New School of San Francisco,The New School of San Francisco,"655 De Haro Street, 1st Floor","655 De Haro St., 1st Fl.",San Francisco,94107-2727,CA,8/17/15,Y,1742,Directly funded,2,State Board of Education,61,Elemen Schools In 1 School Dist. (Public),TRAD,Traditional,ELEM,Elementary,N,N,37.761705,-122.40064
1.41014E+13,691011,12197,Active,Inyo,Inyo County Office of Education,YouthBuild Charter School of California,"155 West Washington Boulevard, Suite 517","155 West Washington Blvd., Ste. 517",Los Angeles,90015-3582,CA,7/1/08,Y,1012,Directly funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,34.031953,-118.26627
1.41014E+13,691011,13673,Active,Inyo,Inyo County Office of Education,The Education Corps,2824 South Main Street,2824 South Main St.,Los Angeles,90007-3334,CA,7/1/13,Y,1594,Directly funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,34.02253,-118.26982
1.41014E+13,691011,13704,Active,Inyo,Inyo County Office of Education,College Bridge Academy,1827 East 103rd Street,1827 East 103rd St.,Los Angeles,90007-2928,CA,9/3/13,Y,1593,Directly funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,33.943462,-118.23982
1.9102E+13,691078,12696,Active,Los Angeles,Los Angeles County Office of Education,Central Juvenile Hall,1605 Eastlake Avenue,1605 Eastlake Ave.,Los Angeles,90033,CA,7/1/10,N,,,0,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,ELEMHIGH,Elementary-High Combination,N,N,34.063497,-118.20587
1.9102E+13,691078,13536,Active,Los Angeles,Los Angeles County Office of Education,Optimist Charter,6957 North Figueroa Street,6957 North Figueroa St.,Los Angeles,90042-1245,CA,7/1/13,Y,1506,Directly funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,34.128523,-118.18775
1.9102E+13,691078,14033,Active,Los Angeles,Los Angeles County Office of Education,LA's Promise Charter Middle #1,4920 South Western Avenue,4920 South Western Ave.,Los Angeles,90062-2347,CA,8/30/16,Y,1818,Directly funded,0,County Office of Education (COE),62,Intermediate/Middle Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,33.998537,-118.30871
1.9102E+13,691078,,Active,Los Angeles,Los Angeles County Office of Education,LA's Promise Charter High #1,1755 West 52nd Street,1755 West 52nd St.,Los Angeles,90062-2347,CA,8/15/17,Y,1817,Directly funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,33.995341,-118.30851
1.96473E+13,622710,11632,Active,Los Angeles,Los Angeles Unified,Alliance Patti And Peter Neuwirth Leadership Academy,4610 South Main Street,4610 South Main St.,Los Angeles,90037-2736,CA,9/4/07,Y,789,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,34.001568,-118.27383
1.96473E+13,622710,11634,Active,Los Angeles,Los Angeles Unified,Alliance Jack H. Skirball Middle,603 East 115th Street,603 East 115th St.,Los Angeles,90059-2322,CA,9/4/07,Y,779,Directly funded,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,N,N,33.930161,-118.26361
1.96473E+13,622710,11640,Active,Los Angeles,Los Angeles Unified,Animo Watts College Preparatory Academy,12628 Avalon Boulevard,12628 Avalon Blvd.,Los Angeles,90061-2728,CA,9/4/07,Y,783,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,33.917952,-118.26524
1.96473E+13,622710,12144,Active,Los Angeles,Los Angeles Unified,John H. Liechty Middle,650 South Union Avenue,650 South Union Ave.,Los Angeles,90017-1633,CA,9/5/07,N,,,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,N,N,34.055316,-118.27011
1.96473E+13,622710,12114,Active,Los Angeles,Los Angeles Unified,West Adams Preparatory High,1500 West Washington Boulevard,1500 West Washington Blvd.,Los Angeles,90007-1257,CA,9/5/07,N,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,C,N,34.04001,-118.28968
1.96473E+13,622710,11928,Active,Los Angeles,Los Angeles Unified,Monsenor Oscar Romero Charter Middle,1157 South Berendo Street,1157 South Berendo St.,Los Angeles,90006-3301,CA,9/13/07,Y,931,Directly funded,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,N,N,34.049274,-118.29391
1.96473E+13,622710,11931,Active,Los Angeles,Los Angeles Unified,Global Education Academy,4141 South Figueroa Street,4141 South Figueroa St.,Los Angeles,90037-2038,CA,9/24/07,Y,934,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,34.008437,-118.28279
1.96473E+13,622710,12044,Active,Los Angeles,Los Angeles Unified,Center for Advanced Learning,4016 South Central Avenue,4016 South Central Ave.,Los Angeles,90011-2708,CA,9/10/07,Y,937,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,34.010657,-118.2565
1.96473E+13,622710,11954,Active,Los Angeles,Los Angeles Unified,ICEF Vista Middle Academy,4471 Inglewood Boulevard,4471 Inglewood Blvd.,Los Angeles,90066-6209,CA,9/8/08,Y,953,Directly funded,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,C,N,33.99511,-118.41818
1.96473E+13,622710,12259,Active,Los Angeles,Los Angeles Unified,Alliance Morgan McKinzie High,110 South Townsend Avenue,110 South Townsend Ave.,Los Angeles,90063-2437,CA,8/31/09,Y,928,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,34.035647,-118.18775
1.96473E+13,622710,12223,Active,Los Angeles,Los Angeles Unified,Dr. James Edward Jones Primary Center,1017 West 47th Street,1017 West 47th St.,Los Angeles,90037-2913,CA,9/3/08,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,N,N,34.000679,-118.29208
1.96473E+13,622710,12295,Active,Los Angeles,Los Angeles Unified,Edward R. Roybal Learning Center,1200 West Colton Street,1200 West Colton St.,Los Angeles,90026-5816,CA,9/3/08,N,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,34.061984,-118.25456
1.96473E+13,622710,12312,Active,Los Angeles,Los Angeles Unified,APEX Academy,"1309 North Wilton Place, 3rd Floor","1309 North Wilton Pl., 3rd Fl.",Los Angeles,90028-8526,CA,9/3/08,Y,1459,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,34.052234,-118.24368
1.96473E+13,622710,12378,Active,Los Angeles,Los Angeles Unified,Alliance Piera Barbaglia Shaheen Health Services Academy,10616 South Western Avenue,10616 South Western Ave.,Los Angeles,90047-4449,CA,8/31/09,Y,927,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,33.939477,-118.30874
1.96473E+13,622710,12342,Active,Los Angeles,Los Angeles Unified,Alliance Leichtman-Levine Family Foundation Environmental Science High,2930 Fletcher Drive,2930 Fletcher Dr.,Los Angeles,90065-1407,CA,8/31/09,Y,929,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,N,N,34.113837,-118.24692
1.96473E+13,622710,12324,Active,Los Angeles,Los Angeles Unified,New Los Angeles Charter,1919 South Burnside Avenue,1919 South Burnside Ave.,Los Angeles,90016-1114,CA,9/3/08,Y,998,Directly funded,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,N,N,34.041298,-118.35758
